date,tournament,round,surface,winner,loser,wrank,lrank,odds_winner,odds_loser,pin_winner,pin_loser,max_winner,max_loser
2022-03-10,BNP Paribas Open,1st Round,Hard,Krajinovic F.,Lajovic D.,40,44.0,1.57,2.37,1.62,2.45,1.67,2.5
2022-03-10,BNP Paribas Open,1st Round,Hard,Fognini F.,Andujar P.,36,69.0,1.4,3.0,1.54,2.68,1.54,3.02
2022-03-10,BNP Paribas Open,1st Round,Hard,Bonzi B.,Rinderknech A.,62,57.0,2.1,1.72,2.02,1.89,2.12,1.9
2022-03-10,BNP Paribas Open,1st Round,Hard,Djere L.,Kwon S.W.,52,64.0,3.2,1.36,2.99,1.45,3.2,1.49
2022-03-11,BNP Paribas Open,1st Round,Hard,Paul T.,Kukushkin M.,39,154.0,1.22,4.33,1.25,4.41,1.25,4.5
2022-03-11,BNP Paribas Open,1st Round,Hard,Kecmanovic M.,Broady L.,61,124.0,1.44,2.75,1.49,2.83,1.5,2.86
2022-03-11,BNP Paribas Open,1st Round,Hard,Koepfer D.,Paire B.,51,53.0,1.9,1.9,2.11,1.81,2.11,1.95
2022-03-11,BNP Paribas Open,1st Round,Hard,Thompson J.,Goffin D.,78,71.0,2.37,1.57,2.49,1.6,2.5,1.6
2022-03-11,BNP Paribas Open,1st Round,Hard,Murray A.,Daniel T.,88,106.0,1.4,3.0,1.46,2.93,1.5,3.0
2022-03-11,BNP Paribas Open,1st Round,Hard,Ruusuvuori E.,Kohlschreiber P.,70,136.0,1.25,4.0,1.27,4.23,1.29,4.5
2022-03-11,BNP Paribas Open,1st Round,Hard,Munar J.,Shang J.,99,543.0,1.25,4.0,1.26,4.38,1.28,4.4
2022-03-11,BNP Paribas Open,1st Round,Hard,Korda S.,Kokkinakis T.,38,97.0,1.57,2.37,1.6,2.52,1.65,2.52
2022-03-11,BNP Paribas Open,1st Round,Hard,Martinez P.,Sousa J.,49,85.0,1.5,2.62,1.52,2.68,1.56,2.78
2022-03-11,BNP Paribas Open,1st Round,Hard,Kyrgios N.,Baez S.,132,7.0,1.44,2.75,1.46,2.94,1.5,3.2
2022-03-11,BNP Paribas Open,1st Round,Hard,Machac T.,Popyrin A.,158,89.0,1.66,2.2,1.68,2.3,1.8,2.3
2022-03-11,BNP Paribas Open,1st Round,Hard,Wolf J.J.,Gaston H.,209,68.0,1.5,2.62,1.58,2.51,1.58,2.65
2022-03-11,BNP Paribas Open,1st Round,Hard,Otte O.,Gasquet R.,76,81.0,2.2,1.66,2.35,1.67,2.38,1.76
2022-03-12,BNP Paribas Open,2nd Round,Hard,Bonzi B.,Sonego L.,62,21.0,1.9,1.9,1.99,1.92,2.1,2.0
